Company,Ticker,Price,Beta
"ARGAN, INC. (XNYS:AGX)",AGX,$231.67 ,0.61
"AGILYSYS, INC. (XNAS:AGYS)",AGYS,$109.62 ,0.62
ADAPTHEALTH CORP. (XNAS:AHCO),AHCO,$9.53 ,1.64
"ARMADA HOFFLER PROPERTIES, INC. (XNYS:AHH)",AHH,$7.41 ,1.15
"AMERICAN HEALTHCARE REIT, INC. (XNYS:AHR)",AHR,$43.02 ,-0.15
"C3.AI, INC. (XNYS:AI)",AI,$16.15 ,1.95
"AMERICAN INTERNATIONAL GROUP, INC. (XNYS:AIG)",AIG,$78.20 ,0.7
ALBANY INTERNATIONAL CORP. (XNYS:AIN),AIN,$60.91 ,1.4
"POWERFLEET, INC. (XNAS:AIOT)",AIOT,$5.35 ,1.3
"ARTERIS, INC. (XNAS:AIP)",AIP,$8.83 ,1.44
AAR CORP. (XNYS:AIR),AIR,$75.60 ,1.49
"APPLIED INDUSTRIAL TECHNOLOGIES, INC. (XNYS:AIT)",AIT,$268.52 ,0.97
APARTMENT INVESTMENT AND MANAGEMENT COMPANY (XNYS:AIV),AIV,$7.56 ,1.48
"ASSURANT, INC. (XNYS:AIZ)",AIZ,$211.02 ,0.55
ARTHUR J. GALLAGHER & CO. (XNYS:AJG),AJG,$299.99 ,0.73
"AKAMAI TECHNOLOGIES, INC. (XNAS:AKAM)",AKAM,$77.86 ,0.77
"AKEBIA THERAPEUTICS, INC. (XNAS:AKBA)",AKBA,$2.96 ,0.72
ACADIA REALTY TRUST (XNYS:AKR),AKR,$19.72 ,1.5
"Akero Therapeutics, Inc. (XNAS:AKRO)",AKRO,$44.13 ,-0.29
AIR LEASE CORPORATION (XNYS:AL),AL,$63.56 ,1.38
"ASTERA LABS, INC (XNAS:ALAB)",ALAB,$233.75 ,2.59
ALBEMARLE CORPORATION (XNYS:ALB),ALB,$75.14 ,1.68
"ALDEYRA THERAPEUTICS, INC. (XNAS:ALDX)",ALDX,$5.71 ,0.85
"ALLETE, Inc. (XNYS:ALE)",ALE,$63.83 ,0.81
"ALECTOR, INC. (XNAS:ALEC)",ALEC,$2.81 ,0.94
"ALEXANDER & BALDWIN, INC. (XNYS:ALEX)",ALEX,$18.79 ,1.07
ALAMO GROUP INC. (XNYS:ALG),ALG,$210.49 ,1.11
"ALLEGRO MICROSYSTEMS, INC (XNAS:ALGM)",ALGM,$30.73 ,1.74
"ALIGN TECHNOLOGY, INC. (XNAS:ALGN)",ALGN,$135.33 ,1.73
ALLEGIANT TRAVEL COMPANY (XNAS:ALGT),ALGT,$63.27 ,1.72
"ALIGNMENT HEALTHCARE, INC. (XNAS:ALHC)",ALHC,$16.14 ,1.18
"ALIGHT, INC. (XNYS:ALIT)",ALIT,$3.65 ,1.05
"ALASKA AIR GROUP, INC. (XNYS:ALK)",ALK,$62.86 ,1.45
ALKERMES PUBLIC LIMITED COMPANY (XNAS:ALKS),ALKS,$27.20 ,0.49
"ALKAMI TECHNOLOGY, INC. (XNAS:ALKT)",ALKT,$25.31 ,0.58
ALL,ALL,#FIELD!,#FIELD!
ALLEGION PUBLIC LIMITED COMPANY (XNYS:ALLE),ALLE,$176.57 ,1.08
"ALLOGENE THERAPEUTICS, INC. (XNAS:ALLO)",ALLO,$1.14 ,0.41
ALLY FINANCIAL INC. (XNYS:ALLY),ALLY,$41.39 ,1.18
ALUMIS INC. (XNAS:ALMS),ALMS,$4.28 ,-2.07
Allient Inc. (XNAS:ALNT),ALNT,$46.46 ,1.53
"ALNYLAM PHARMACEUTICALS, INC. (XNAS:ALNY)",ALNY,$466.92 ,0.36
"ALARM.COM HOLDINGS, INC. (XNAS:ALRM)",ALRM,$55.77 ,1.06
ALERUS FINANCIAL CORPORATION (XNAS:ALRS),ALRS,$22.72 ,0.71
"ALLISON TRANSMISSION HOLDINGS, INC. (XNYS:ALSN)",ALSN,$90.56 ,1.02
"ALTIMMUNE, INC. (XNAS:ALT)",ALT,$3.67 ,0.08
ALTA EQUIPMENT GROUP INC. (XNYS:ALTG),ALTG,$7.58 ,1.6
"ALEXANDER'S, INC. (XNYS:ALX)",ALX,$244.06 ,0.83
ANTERO MIDSTREAM CORPORATION (XNYS:AM),AM,$18.36 ,0.84
AMALGAMATED FINANCIAL CORP. (XNAS:AMAL),AMAL,$28.52 ,0.88
"APPLIED MATERIALS, INC. (XNAS:AMAT)",AMAT,$169.98 ,1.78
AMBARELLA INC (XNAS:AMBA),AMBA,$83.08 ,2.12
