Company,Ticker,Price,Beta
"BILL HOLDINGS, INC. (XNYS:BILL)",BILL,$52.20 ,1.4
"BIO-RAD LABORATORIES, INC. (XNYS:BIO)",BIO,$282.58 ,0.98
BROOKFIELD INFRASTRUCTURE CORPORATION (XNYS:BIPC),BIPC,$40.53 ,1.42
BIRKENSTOCK HOLDING PLC (XNYS:BIRK),BIRK,$47.46 ,0.9
"BJ'S WHOLESALE CLUB HOLDINGS, INC. (XNYS:BJ)",BJ,$98.32 ,0.37
"BJ'S RESTAURANTS, INC. (XNAS:BJRI)",BJRI,$31.82 ,1.37
THE BANK OF NEW YORK MELLON CORPORATION (XNYS:BK),BK,$105.75 ,1.13
BROOKDALE SENIOR LIVING INC. (XNYS:BKD),BKD,$7.51 ,0.89
"THE BUCKLE, INC. (XNYS:BKE)",BKE,$60.70 ,1.06
BLACK HILLS CORPORATION (XNYS:BKH),BKH,$58.74 ,0.71
BOOKING HOLDINGS INC. (XNAS:BKNG),BKNG,"$5,498.87 ",1.37
BAKER HUGHES COMPANY (XNAS:BKR),BKR,$46.85 ,0.98
"BANKUNITED, INC. (XNYS:BKU)",BKU,$39.05 ,1.29
"BLACKLINE, INC (XNAS:BL)",BL,$54.68 ,0.98
BLUE BIRD CORPORATION (XNAS:BLBD),BLBD,$58.88 ,1.66
TOPBUILD CORP. (XNYS:BLD),BLD,$427.56 ,1.69
"BUILDERS FIRSTSOURCE, INC. (XNYS:BLDR)",BLDR,$147.83 ,1.66
"BIOLIFE SOLUTIONS, INC. (XNAS:BLFS)",BLFS,$26.80 ,1.96
BLUE FOUNDRY BANCORP (XNAS:BLFY),BLFY,$9.30 ,0.61
"BLACKROCK, INC. (XNYS:BLK)",BLK,"$1,130.43 ",1.47
"BLACKBAUD, INC. (XNAS:BLKB)",BLKB,$68.84 ,1.12
"BLOOMIN' BRANDS, INC. (XNAS:BLMN)",BLMN,$6.93 ,1.28
"BLEND LABS, INC. (XNYS:BLND)",BLND,$4.35 ,1.26
"Foreign Trade Bank of Latin America, Inc (XNYS:BLX)",BLX,$47.77 ,0.88
BUMBLE INC. (XNAS:BMBL),BMBL,$6.52 ,1.96
"BADGER METER, INC. (XNYS:BMI)",BMI,$181.03 ,0.91
BANK OF MARIN BANCORP (XNAS:BMRC),BMRC,$24.79 ,0.87
BIOMARIN PHARMACEUTICAL INC. (XNAS:BMRN),BMRN,$54.94 ,0.35
BRISTOL-MYERS SQUIBB COMPANY (XNYS:BMY),BMY,$48.15 ,0.35
"BROADSTONE NET LEASE, INC. (XNYS:BNL)",BNL,$18.74 ,1.03
BOSTON OMAHA CORPORATION (XNYS:BOC),BOC,$13.56 ,1
BANK OF HAWAII CORPORATION (XNYS:BOH),BOH,$67.71 ,0.8
BOK FINANCIAL CORPORATION (XNAS:BOKF),BOKF,$110.38 ,0.88
DMC GLOBAL INC. (XNAS:BOOM),BOOM,$6.99 ,1.42
"Boot Barn Holdings, Inc. (XNYS:BOOT)",BOOT,$188.10 ,1.63
Borr Drilling Limited (XNYS:BORR),BORR,$3.05 ,1.85
BOWHEAD SPECIALTY HOLDINGS INC. (XNYS:BOW),BOW,$28.96 ,0.32
"BOX, INC. (XNYS:BOX)",BOX,$32.85 ,0.92
Popular Inc (XNAS:BPOP),BPOP,$124.29 ,0.7
"BROADRIDGE FINANCIAL SOLUTIONS, INC. (XNYS:BR)",BR,$253.82 ,0.97
"BELLRING BRANDS, INC. (XNYS:BRBR)",BRBR,$36.68 ,0.78
BRC Inc. (XNYS:BRCC),BRCC,$1.66 ,0.92
BERKSHIRE HATHAWAY INC. (XSGO:BRKB),BRKB,$464.00 ,0.78
BRUKER CORPORATION (XNAS:BRKR),BRKR,$31.86 ,1.22
"BROWN & BROWN, INC. (XNYS:BRO)",BRO,$93.83 ,0.81
Dutch Bros Inc (XNYS:BROS),BROS,$66.21 ,2.65
BRSL,BRSL,#FIELD!,#FIELD!
"BRIGHTSPIRE CAPITAL, INC. (XNYS:BRSP)",BRSP,$5.98 ,1.63
BRIXMOR PROPERTY GROUP INC. (XNYS:BRX),BRX,$28.07 ,1.34
BERRY CORPORATION (BRY) (XNAS:BRY),BRY,$3.32 ,1.14
"Braze, Inc. (XNAS:BRZE)",BRZE,$30.36 ,1.1
SIERRA BANCORP (XNAS:BSRR),BSRR,$30.13 ,0.8
BOSTON SCIENTIFIC CORPORATION (XNYS:BSX),BSX,$104.44 ,0.63
"BENTLEY SYSTEMS, INCORPORATED (XNAS:BSY)",BSY,$53.05 ,1.1
"BIT DIGITAL, INC (XNAS:BTBT)",BTBT,$2.98 ,4.78
Bitdeer Technologies Group (XNAS:BTDR),BTDR,$14.06 ,2.23
"BRIGHTSPRING HEALTH SERVICES, INC. (XNAS:BTSG)",BTSG,$28.38 ,1.14
PEABODY ENERGY CORPORATION (XNYS:BTU),BTU,$18.58 ,0.58
BURFORD CAPITAL LIMITED (XNYS:BUR),BUR,$12.89 ,1.39
"BURLINGTON STORES, INC. (XNYS:BURL)",BURL,$280.90 ,1.77
FIRST BUSEY CORPORATION (XNAS:BUSE),BUSE,$24.61 ,0.79
"BRIGHTVIEW HOLDINGS, INC. (XNYS:BV)",BV,$14.09 ,1.29
BIOVENTUS INC. (XNAS:BVS),BVS,$7.28 ,0.84
BORGWARNER INC. (XNYS:BWA),BWA,$44.02 ,1.09
"BRIDGEWATER BANCSHARES, INC. (XNAS:BWB)",BWB,$16.49 ,0.58
"THE BALDWIN INSURANCE GROUP, INC (XNAS:BWIN)",BWIN,$31.59 ,1.42
BOWMAN CONSULTING GROUP LTD. (XNAS:BWMN),BWMN,$41.62 ,1.33
"BWX TECHNOLOGIES, INC. (XNYS:BWXT)",BWXT,$170.82 ,0.76
BLACKSTONE INC. (XNYS:BX),BX,$185.58 ,1.78
BLUELINX HOLDINGS INC. (XNYS:BXC),BXC,$80.60 ,1.62
"BLACKSTONE MORTGAGE TRUST, INC. (XNYS:BXMT)",BXMT,$20.03 ,1.19
"BXP, INC. (XNYS:BXP)",BXP,$76.16 ,1.24
"BYLINE BANCORP, INC. (XNYS:BY)",BY,$28.71 ,0.88
BOYD GAMING CORPORATION (XNYS:BYD),BYD,$85.91 ,1.31
"BEYOND MEAT, INC. (XNAS:BYND)",BYND,$2.61 ,2.38
BYRNA TECHNOLOGIES INC. (XNAS:BYRN),BYRN,$21.39 ,2.05
"BEAZER HOMES USA, INC. (XNYS:BZH)",BZH,$26.16 ,2.19
CITIGROUP INC. (XNYS:C),C,$98.45 ,1.36
"CABLE ONE, INC. (XNYS:CABO)",CABO,$166.91 ,0.86
CAMDEN NATIONAL CORPORATION (XNAS:CAC),CAC,$40.39 ,0.66
CREDIT ACCEPTANCE CORPORATION (XNAS:CACC),CACC,$521.38 ,1.22
CACI INTERNATIONAL INC. (XNYS:CACI),CACI,$491.67 ,0.63
Cadence Bank (XNYS:CADE),CADE,$37.33 ,0.9
"CONAGRA BRANDS, INC. (XNYS:CAG)",CAG,$19.39 ,0.04
"CARDINAL HEALTH, INC. (XNYS:CAH)",CAH,$151.92 ,0.72
THE CHEESECAKE FACTORY INCORPORATED (XNAS:CAKE),CAKE,$58.18 ,1.08
Caleres Inc. (XNYS:CAL),CAL,$15.81 ,1.19
"CAL-MAINE FOODS, INC. (XNAS:CALM)",CALM,$111.43 ,0.25
"CALIX, INC. (XNYS:CALX)",CALX,$63.26 ,1.33
"CAPRICOR THERAPEUTICS, INC. (XNAS:CAPR)",CAPR,$6.36 ,0.67
"AVIS BUDGET GROUP, INC. (XNAS:CAR)",CAR,$155.22 ,2.05
"Carter Bankshares, Inc. (XNAS:CARE)",CARE,$19.90 ,0.84
"CARGURUS, INC. (XNAS:CARG)",CARG,$36.04 ,1.52
CARRIER GLOBAL CORPORATION (XNYS:CARR),CARR,$62.88 ,1.28
CARS.COM INC. (XNYS:CARS),CARS,$13.56 ,1.78
Maplebear Inc. (XNAS:CART),CART,$46.44 ,1.09
"Pathward Financial, Inc. (XNAS:CASH)",CASH,$76.31 ,0.64
"CASS INFORMATION SYSTEMS, INC. (XNAS:CASS)",CASS,$43.11 ,0.49
"CASEY'S GENERAL STORES, INC. (XNAS:CASY)",CASY,$555.69 ,0.66
CATERPILLAR INC. (XNYS:CAT),CAT,$430.38 ,1.45
"Perspective Therapeutics, Inc. (XNYS:CATX)",CATX,$3.36 ,1.17
CATHAY GENERAL BANCORP (XNAS:CATY),CATY,$49.11 ,0.94
"CAVA GROUP, INC. (XNYS:CAVA)",CAVA,$64.31 ,2.11
"CB FINANCIAL SERVICES, INC. (XNAS:CBFV)",CB,$33.44 ,0.36
"COLONY BANKCORP, INC. (XNYS:CBAN)",CBAN,$17.09 ,0.67
"CBL & ASSOCIATES PROPERTIES, INC. (XNYS:CBL)",CBL,$32.31 ,1.5
"CERIBELL, INC. (XNAS:CBLL)",CBLL,$11.63 ,0.76
"Cboe Global Markets, Inc. (BATS:CBOE)",CBOE,$236.13 ,0.44
"CBRE GROUP, INC. (XNYS:CBRE)",CBRE,$166.94 ,1.38
"Cracker Barrel Old Country Store, Inc. (XNAS:CBRL)",CBRL,$51.35 ,1.38
"COMMERCE BANCSHARES, INC. (XNAS:CBSH)",CBSH,$59.71 ,0.59
CABOT CORPORATION (XNYS:CBT),CBT,$80.73 ,0.89
"COMMUNITY FINANCIAL SYSTEM, INC. (XNYS:CBU)",CBU,$59.09 ,0.78
"CBIZ, INC. (XNYS:CBZ)",CBZ,$57.22 ,0.94
THE CHEMOURS COMPANY (XNYS:CC),CC,$16.67 ,1.63
COASTAL FINANCIAL CORPORATION (XNAS:CCB),CCB,$111.27 ,1.02
"CAPITAL CITY BANK GROUP, INC. (XNAS:CCBG)",CCBG,$43.19 ,0.38
CCC INTELLIGENT SOLUTIONS HOLDINGS INC. (XNAS:CCCS),CCCS,$9.68 ,0.74
CROWN CASTLE INC. (XNYS:CCI),CCI,$94.42 ,0.97
"CROWN HOLDINGS, INC. (XNYS:CCK)",CCK,$96.45 ,0.74
CCL,CCL,#FIELD!,#FIELD!
CNB FINANCIAL CORPORATION (XNAS:CCNE),CCNE,$25.89 ,0.69
"COGENT COMMUNICATIONS HOLDINGS, INC. (XNAS:CCOI)",CCOI,$35.91 ,0.75
"CROSS COUNTRY HEALTHCARE, INC. (XNAS:CCRN)",CCRN,$12.86 ,0.39
"CENTURY COMMUNITIES, INC. (XNYS:CCS)",CCS,$68.82 ,1.56
"CONSENSUS CLOUD SOLUTIONS, INC. (XNAS:CCSI)",CCSI,$27.98 ,1.92
"COEUR MINING, INC. (XNYS:CDE)",CDE,$15.37 ,1.16
"CAREDX, INC. (XNAS:CDNA)",CDNA,$13.70 ,2.37
"CADENCE DESIGN SYSTEMS, INC. (XNAS:CDNS)",CDNS,$354.20 ,1
COPT DEFENSE PROPERTIES (XNYS:CDP),CDP,$30.86 ,0.95
"CADRE HOLDINGS, INC. (XNYS:CDRE)",CDRE,$32.27 ,1.3
"CIDARA THERAPEUTICS, INC. (XNAS:CDTX)",CDTX,$63.62 ,1.26
CDW CORPORATION (XNAS:CDW),CDW,$164.67 ,1.01
"CODEXIS, INC. (XNAS:CDXS)",CDXS,$2.48 ,2.54
CELANESE CORPORATION (XNYS:CE),CE,$45.13 ,1.16
CECO ENVIRONMENTAL CORP. (XNAS:CECO),CECO,$48.17 ,1.27
CONSTELLATION ENERGY CORPORATION. (XNAS:CEG),CEG,$320.04 ,1.12
CELCUITY INC. (XNAS:CELC),CELC,$55.31 ,0.73
"CELSIUS HOLDINGS, INC. (XNAS:CELH)",CELH,$57.98 ,1.4
CENTRAL GARDEN & PET COMPANY (XNAS:CENT),CENT,$36.28 ,0.7
CENTRAL GARDEN & PET COMPANY (XNAS:CENTA),CENTA,$32.91 ,0.7
CENTURY ALUMINUM COMPANY (XNAS:CENX),CENX,$23.65 ,2.48
CERUS CORPORATION (XNAS:CERS),CERS,$1.25 ,1.67
"CERTARA, INC. (XNAS:CERT)",CERT,$10.64 ,1.43
"CEVA, INC (XNAS:CEVA)",CEVA,$23.59 ,1.26
"CF INDUSTRIES HOLDINGS, INC. (XNYS:CF)",CF,$86.94 ,0.92
"CAPITOL FEDERAL FINANCIAL, INC. (XNAS:CFFN)",CFFN,$6.48 ,0.62
"CITIZENS FINANCIAL GROUP, INC. (XNYS:CFG)",CFG,$51.73 ,1.15
"CONFLUENT, INC. (XNAS:CFLT)",CFLT,$19.81 ,0.97
"CULLEN/FROST BANKERS, INC. (XNYS:CFR)",CFR,$127.08 ,0.7
THE CARLYLE GROUP INC. (XNAS:CG),CG,$67.77 ,2.01
"CULLINAN THERAPEUTICS, INC. (XNAS:CGEM)",CGEM,$6.60 ,-0.07
COGNEX CORPORATION (XNAS:CGNX),CGNX,$44.81 ,1.51
"CG ONCOLOGY, INC. (XNAS:CGON)",CGON,$33.11 ,1.84
CITY HOLDING COMPANY (XNAS:CHCO),CHCO,$126.16 ,0.54
COMMUNITY HEALTHCARE TRUST INCORPORATED (XNYS:CHCT),CHCT,$15.68 ,0.68
"CHURCH & DWIGHT CO., INC. (XNYS:CHD)",CHD,$94.00 ,0.44
CHURCHILL DOWNS INCORPORATED (XNAS:CHDN),CHDN,$98.03 ,0.85
CHEMED CORPORATION (XNYS:CHE),CHE,$454.42 ,0.44
"THE CHEFS' WAREHOUSE, INC. (XNAS:CHEF)",CHEF,$65.37 ,1.78
"CHOICE HOTELS INTERNATIONAL, INC. (XNYS:CHH)",CHH,$113.81 ,0.87
CHORD ENERGY CORPORATION (XNAS:CHRD),CHRD,$104.27 ,0.95
"COHERUS ONCOLOGY, INC. (XNAS:CHRS)",CHRS,$1.30 ,0.9
"C.H. ROBINSON WORLDWIDE, INC. (XNAS:CHRW)",CHRW,$130.00 ,0.91
"CHARTER COMMUNICATIONS, INC. (XNAS:CHTR)",CHTR,$263.07 ,1.05
"CHEWY, INC. (XNYS:CHWY)",CHWY,$35.96 ,1.64
THE CIGNA GROUP (XNYS:CI),CI,$304.97 ,0.47
CIENA CORPORATION (XNYS:CIEN),CIEN,$133.73 ,1.06
CIPHER MINING INC. (XNAS:CIFR),CIFR,$10.30 ,2.77
CHIMERA INVESTMENT CORPORATION (XNYS:CIM),CIM,$14.52 ,1.93
CINCINNATI FINANCIAL CORPORATION (XNAS:CINF),CINF,$154.87 ,0.73
"CITY OFFICE REIT, INC. (XNYS:CIO)",CIO,$6.95 ,1.83
"CIVISTA BANCSHARES, INC. (XNAS:CIVB)",CIVB,$21.00 ,0.74
"CIVITAS RESOURCES, INC. (XNYS:CIVI)",CIVI,$32.70 ,1.05
COLGATE-PALMOLIVE COMPANY (XNYS:CL),CL,$83.95 ,0.35
CHRISTINA LAKE CANNABIS CORP. (XFRA:CLB),CLB,� 0.02,-0.84
"COLUMBIA FINANCIAL, INC. (XNAS:CLBK)",CLBK,$15.40 ,0.34
CHATHAM LODGING TRUST (XNYS:CLDT),CLDT,$7.22 ,1.47
"CELLDEX THERAPEUTICS, INC. (XNAS:CLDX)",CLDX,$25.09 ,1.31
CLEVELAND-CLIFFS INC. (XNYS:CLF),CLF,$11.65 ,1.95
"Clearfield, Inc. (XNAS:CLFD)",CLFD,$34.52 ,1.79
"CLEAN HARBORS, INC. (XNYS:CLH)",CLH,$237.61 ,1.2
"CLIMB GLOBAL SOLUTIONS, INC. (XNAS:CLMB)",CLMB,$128.13 ,0.98
"CALUMET, INC. (XNAS:CLMT)",CLMT,$17.62 ,0.97
CLEAN ENERGY FUELS CORP. (XNAS:CLNE),CLNE,$2.52 ,2.72
"CLOVER HEALTH INVESTMENTS, CORP. (XNAS:CLOV)",CLOV,$3.18 ,2.09
"CLEANSPARK, INC. (XNAS:CLSK)",CLSK,$10.26 ,3.81
CLARIVATE Plc (XNYS:CLVT),CLVT,$4.33 ,1.47
CLEARWATER PAPER CORPORATION (XNYS:CLW),CLW,$21.51 ,0.18
THE CLOROX COMPANY (XNYS:CLX),CLX,$124.40 ,0.51
COMERICA INCORPORATED (XNYS:CMA),CMA,$69.59 ,0.99
COMMERCIAL METALS COMPANY (XNYS:CMC),CMC,$58.72 ,1.33
CALEDONIA MINING CORPORATION PLC (XNYS:CMCL),CMCL,$32.56 ,0.31
COLUMBUS MCKINNON CORPORATION (XNAS:CMCO),CMCO,$14.72 ,1.27
COMCAST CORPORATION (XNAS:CMCSA),CMCSA,$33.27 ,0.96
Costamare Bulkers Holdings Limited (XNYS:CMDB),CMDB,$11.98 ,#FIELD!
CME GROUP INC. (XNAS:CME),CME,$261.30 ,0.44
"CHIPOTLE MEXICAN GRILL, INC. (XNYS:CMG)",CMG,$38.80 ,1.01
CUMMINS INC. (XNYS:CMI),CMI,$411.53 ,1.03
"COMPASS MINERALS INTERNATIONAL, INC. (XNYS:CMP)",CMP,$18.55 ,1.12
"CompoSecure, Inc. (XNAS:CMPO)",CMPO,$19.38 ,0.97
CIMPRESS PUBLIC LIMITED COMPANY (XNAS:CMPR),CMPR,$59.84 ,1.75
"Compass Therapeutics, Inc. (XNAS:CMPX)",CMPX,$3.55 ,1.31
CMRC,CMRC,#FIELD!,#FIELD!
COSTAMARE INC. (XNYS:CMRE),CMRE,$12.13 ,1.41
CMS ENERGY CORPORATION (XLON:0HR4),CMS,$71.40 ,0.4
"CORE MOLDING TECHNOLOGIES, INC. (XNYS:CMT)",CMT,$21.27 ,0.87
"Claros Mortgage Trust, Inc. (XNYS:CMTG)",CMTG,$3.92 ,1.24
CNA FINANCIAL CORPORATION (XNYS:CNA),CNA,$47.55 ,0.5
CENTENE CORPORATION (XNYS:CNC),CNC,$34.93 ,0.43
CONDUENT INCORPORATED (XNAS:CNDT),CNDT,$2.86 ,1.36
CNH Industrial NV (XNYS:CNH),CNH,$11.23 ,1.54
"CINEMARK HOLDINGS, INC. (XNYS:CNK)",CNK,$28.05 ,1.74
"CORE & MAIN, INC. (XNYS:CNM)",CNM,$49.93 ,1.03
CONMED CORPORATION (XNYS:CNMD),CNMD,$53.58 ,1.18
"CANNAE HOLDINGS, INC. (XNYS:CNNE)",CNNE,$18.96 ,1.1
"CNO FINANCIAL GROUP, INC. (XNYS:CNO)",CNO,$39.18 ,0.92
"CONNECTONE BANCORP, INC. (XNAS:CNOB)",CNOB,$25.03 ,1.14
"CENTERPOINT ENERGY, INC. (XNYS:CNP)",CNP,$38.09 ,0.56
"CORE NATURAL RESOURCES, INC. (XNYS:CNR)",CNR,$73.08 ,0.68
"COHEN & STEERS, INC. (XNYS:CNS)",CNS,$71.80 ,1.4
CNX RESOURCES CORPORATION (XNYS:CNX),CNX,$29.68 ,0.54
CONCENTRIX CORPORATION (XNAS:CNXC),CNXC,$52.38 ,0.58
"PC CONNECTION, INC. (XNAS:CNXN)",CNXN,$63.75 ,0.72
"THE VITA COCO COMPANY, INC. (XNAS:COCO)",COCO,$38.36 ,0.36
COMPASS DIVERSIFIED HOLDINGS (XNYS:CODI),CODI,$7.08 ,1.11
CAPITAL ONE FINANCIAL CORPORATION (XNYS:COF),COF,$224.49 ,1.2
"COGENT BIOSCIENCES, INC. (XNAS:COGT)",COGT,$12.71 ,0.27
Coherent Corp. (XNYS:COHR),COHR,$105.62 ,2.01
"COHU, INC. (XNAS:COHU)",COHU,$21.23 ,1.36
"COINBASE GLOBAL, INC. (XNAS:COIN)",COIN,$320.04 ,3.69
"COCA-COLA CONSOLIDATED, INC. (XNAS:COKE)",COKE,$125.29 ,0.71
"COLUMBIA BANKING SYSTEM, INC. (XNAS:COLB)",COLB,$26.18 ,0.58
"AMERICOLD REALTY TRUST, INC. (XNYS:COLD)",COLD,$13.55 ,0.85
"Collegium Pharmaceutical, Inc. (XNAS:COLL)",COLL,$38.54 ,0.68
COLUMBIA SPORTSWEAR COMPANY (XNAS:COLM),COLM,$55.06 ,0.99
"COMMSCOPE HOLDING COMPANY, INC. (XNAS:COMM)",COMM,$16.62 ,2.45
"COMPASS, INC (XNYS:COMP)",COMP,$9.44 ,2.62
"Concentra Group Holdings Parent, Inc. (XNYS:CON)",CON,$21.96 ,0.56
"THE COOPER COMPANIES, INC. (XNAS:COO)",COO,$68.45 ,1.02
Mr. Cooper Group Inc. (XNAS:COOP),COOP,$231.74 ,1.07
CONOCOPHILLIPS (XNYS:COP),COP,$93.53 ,0.65
"Cencora, Inc. (XNYS:COR)",COR,$302.69 ,0.62
CORCEPT THERAPEUTICS INCORPORATED (XNAS:CORT),CORT,$73.24 ,0.44
"CORE SCIENTIFIC, INC. (XNAS:CORZ)",CORZ,$15.86 ,3.04
COSTCO WHOLESALE CORPORATION (XNAS:COST),COST,$961.24 ,0.99
COTY INC. (XNYS:COTY),COTY,$4.11 ,2
"COURSERA, INC. (XNYS:COUR)",COUR,$10.68 ,1.4
"CORPAY, INC. (XNYS:CPAY)",CPAY,$312.70 ,1
THE CAMPBELL'S COMPANY (XNAS:CPB),CPB,$33.44 ,0.02
CENTRAL PACIFIC FINANCIAL CORP. (XNYS:CPF),CPF,$30.94 ,1.05
CHESAPEAKE UTILITIES CORPORATION (XNYS:CPK),CPK,$124.70 ,0.73
"COUPANG, INC. (XNYS:CPNG)",CPNG,$32.59 ,1.16
Capri Holdings Limited (XNYS:CPRI),CPRI,$21.22 ,1.84
"COPART, INC. (XNAS:CPRT)",CPRT,$48.57 ,1.06
"CATALYST PHARMACEUTICALS, INC. (XNAS:CPRX)",CPRX,$20.10 ,0.81
COOPER-STANDARD HOLDINGS INC. (XNYS:CPS),CPS,$39.29 ,2.65
CAMDEN PROPERTY TRUST (XNYS:CPT),CPT,$110.04 ,0.82
CRANE COMPANY (XNYS:CR),CR,$186.11 ,1.2
"CRA INTERNATIONAL, INC. (XNAS:CRAI)",CRAI,$195.26 ,0.89
CALIFORNIA RESOURCES CORPORATION (XNYS:CRC),CRC,$52.36 ,1.54
"CRICUT, INC. (XNAS:CRCT)",CRCT,$6.32 ,0.16
Credo Technology Group Holding Ltd (XNAS:CRDO),CRDO,$160.77 ,2.59
CRESCENT ENERGY COMPANY (XNYS:CRGY),CRGY,$8.64 ,1.24
CRH PUBLIC LIMITED COMPANY (XNYS:CRH),CRH,$113.72 ,1.25
"CARTER'S, INC. (XNYS:CRI)",CRI,$29.44 ,1.08
"COMSTOCK RESOURCES, INC. (XNYS:CRK)",CRK,$15.83 ,0.16
"CHARLES RIVER LABORATORIES INTERNATIONAL, INC. (XNYS:CRL)",CRL,$156.44 ,1.52
"SALESFORCE, INC. (XNYS:CRM)",CRM,$245.52 ,1.22
CORMEDIX INC. (XNAS:CRMD),CRMD,$13.17 ,1.91
"AMERICA'S CAR-MART, INC. (XNAS:CRMT)",CRMT,$34.94 ,1.3
Cerence Inc. (XNAS:CRNC),CRNC,$9.57 ,2.81
"CRINETICS PHARMACEUTICALS, INC. (XNAS:CRNX)",CRNX,$33.65 ,0.27
"CROCS, INC. (XNAS:CROX)",CROX,$81.32 ,1.45
CARPENTER TECHNOLOGY CORPORATION (XNYS:CRS),CRS,$244.43 ,1.48
CRISPR Therapeutics Ltd (XNAS:CRSP),CRSP,$55.14 ,1.8
"CORSAIR GAMING, INC. (XNAS:CRSR)",CRSR,$8.93 ,1.77
"CIRRUS LOGIC, INC. (XNAS:CRUS)",CRUS,$114.59 ,1.08
CORVEL CORPORATION (XNAS:CRVL),CRVL,$87.98 ,0.99
"CROWDSTRIKE HOLDINGS, INC. (XNAS:CRWD)",CRWD,$434.39 ,1.17
"CISCO SYSTEMS, INC. (XNAS:CSCO)",CSCO,$68.33 ,0.97
"COSTAR GROUP, INC. (XNAS:CSGP)",CSGP,$87.19 ,0.89
"CSG SYSTEMS INTERNATIONAL, INC. (XNAS:CSGS)",CSGS,$65.00 ,0.94
CARLISLE COMPANIES INCORPORATED (XNYS:CSL),CSL,$392.46 ,1.03
CENTERSPACE (XNYS:CSR),CSR,$58.87 ,0.75
"CASTLE BIOSCIENCES, INC. (XNAS:CSTL)",CSTL,$22.98 ,1.15
Constellium SE (XNYS:CSTM),CSTM,$14.67 ,1.72
"CARRIAGE SERVICES, INC. (XNYS:CSV)",CSV,$42.20 ,0.86
MSCI Swtzrlnd UCTS ETF-EC (XPAR:CSW),CSW,� 11.99,1.01
CSX Corporation (XNAS:CSX),CSX,$32.50 ,1.28
CINTAS CORPORATION (XNAS:CTAS),CTAS,$203.64 ,1.01
"COMMUNITY TRUST BANCORP, INC. (XNAS:CTBI)",CTBI,$57.26 ,0.59
"CYTEK BIOSCIENCES, INC. (XNAS:CTKB)",CTKB,$3.96 ,1.36
"Cantaloupe, Inc. (XNAS:CTLP)",CTLP,$10.82 ,1.09
"CTO REALTY GROWTH, INC. (XNYS:CTO)",CTO,$16.57 ,0.73
"CUSTOM TRUCK ONE SOURCE, INC. (XNYS:CTOS)",CTOS,$5.83 ,1.27
Coterra Energy Inc. (XNYS:CTRA),CTRA,$24.33 ,0.29
"CARETRUST REIT, INC. (XNYS:CTRE)",CTRE,$33.98 ,0.85
"CENTURI HOLDINGS, INC. (XNYS:CTRI)",CTRI,$22.95 ,1.18
CTS CORPORATION (XNYS:CTS),CTS,$42.19 ,0.86
COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION (XNAS:CTSH),CTSH,$69.73 ,0.96
"CORTEVA, INC. (XNYS:CTVA)",CTVA,$72.80 ,0.79
CUBESMART (XNYS:CUBE),CUBE,$41.43 ,0.98
"Customers Bancorp, Inc. (XNYS:CUBI)",CUBI,$68.37 ,1.59
Curbline Properties Corp. (XNYS:CURB),CURB,$22.82 ,0.48
COUSINS PROPERTIES INCORPORATED (XNYS:CUZ),CUZ,$29.68 ,1.39
CVB FINANCIAL CORP. (XNAS:CVBF),CVBF,$20.28 ,0.7
"CAVCO INDUSTRIES, INC. (XNAS:CVCO)",CVCO,$555.00 ,1.23
"CALAVO GROWERS, INC. (XNAS:CVGW)",CVGW,$27.58 ,0.41
"CVR ENERGY, INC. (XNYS:CVI)",CVI,$31.60 ,1.22
"COVENANT LOGISTICS GROUP, INC. (XNYS:CVLG)",CVLG,$23.35 ,1.43
"COMMVAULT SYSTEMS, INC. (XNAS:CVLT)",CVLT,$178.87 ,0.72
CARVANA CO. (XNYS:CVNA),CVNA,$357.91 ,3.58
"CVRX, INC. (XNAS:CVRX)",CVRX,$8.20 ,1.22
CVS HEALTH CORPORATION (XNYS:CVS),CVS,$74.61 ,0.61
CHEVRON CORPORATION (XNYS:CVX),CVX,$157.72 ,0.83
CURTISS-WRIGHT CORPORATION (XNYS:CW),CW,$511.55 ,1.13
"CLEARWATER ANALYTICS HOLDINGS, INC. (XNYS:CWAN)",CWAN,$20.10 ,0.72
COMMUNITY WEST BANCSHARES (XNAS:CWBC),CWBC,$21.07 ,0.91
CONSOLIDATED WATER CO. LTD. (XNAS:CWCO),CWCO,$33.26 ,0.53
"CLEARWAY ENERGY, INC. (XNYS:CWEN)",CWEN,$28.87 ,0.92
CWENA,CWENA,#FIELD!,#FIELD!
"CAMPING WORLD HOLDINGS, INC. (XNYS:CWH)",CWH,$17.44 ,2
CUSHMAN & WAKEFIELD PLC (XNYS:CWK),CWK,$16.49 ,1.52
"CASELLA WASTE SYSTEMS, INC. (XNAS:CWST)",CWST,$93.03 ,0.86
CALIFORNIA WATER SERVICE GROUP (XNYS:CWT),CWT,$46.04 ,0.68
"SPRINKLR, INC. (XNYS:CXM)",CXM,$7.87 ,0.8
"CRANE NXT, CO. (XNYS:CXT)",CXT,$61.79 ,1.34
"CORECIVIC, INC. (XNYS:CXW)",CXW,$21.40 ,0.76
"COMMUNITY HEALTH SYSTEMS, INC. (XNYS:CYH)",CYH,$2.99 ,1.87
"CRYOPORT, INC. (XNAS:CYRX)",CYRX,$9.61 ,1.6
"CYTOKINETICS, INCORPORATED (XNAS:CYTK)",CYTK,$52.77 ,0.58
